0, 0, Header, 1, 3, 960
1, 0, Start_track
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 545454
1, 11520, Tempo, 545454
1, 11520, Tempo, 545454
1, 11521, End_track
2, 0, Start_track
2, 0, Control_c, 0, 0, 0
2, 0, Control_c, 0, 32, 0
2, 0, Program_c, 0, 1
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 91, 48
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 7, 100
2, 23040, Note_on_c, 0, 54, 76
2, 23040, Note_on_c, 0, 59, 76
2, 23520, Note_off_c, 0, 54, 0
2, 23520, Note_off_c, 0, 59, 0
2, 23520, Note_on_c, 0, 59, 74
2, 24000, Note_off_c, 0, 59, 0
2, 24000, Note_on_c, 0, 59, 67
2, 24480, Note_off_c, 0, 59, 0
2, 24480, Note_on_c, 0, 50, 88
2, 24480, Note_on_c, 0, 55, 88
2, 24480, Note_on_c, 0, 59, 88
2, 24960, Note_off_c, 0, 50, 0
2, 24960, Note_off_c, 0, 55, 0
2, 24960, Note_off_c, 0, 59, 0
2, 24960, Note_on_c, 0, 59, 71
2, 25440, Note_off_c, 0, 59, 0
2, 25440, Note_on_c, 0, 59, 73
2, 25920, Note_off_c, 0, 59, 0
2, 25920, Note_on_c, 0, 52, 89
2, 25920, Note_on_c, 0, 57, 89
2, 25920, Note_on_c, 0, 59, 89
2, 26400, Note_off_c, 0, 52, 0
2, 26400, Note_off_c, 0, 57, 0
2, 26400, Note_off_c, 0, 59, 0
2, 26400, Note_on_c, 0, 59, 74
2, 26880, Note_off_c, 0, 59, 0
2, 26880, Note_on_c, 0, 59, 72
2, 27360, Note_off_c, 0, 59, 0
2, 27360, Note_on_c, 0, 52, 85
2, 27360, Note_on_c, 0, 59, 85
2, 27840, Note_off_c, 0, 52, 0
2, 27840, Note_off_c, 0, 59, 0
2, 27840, Note_on_c, 0, 59, 71
2, 28320, Note_off_c, 0, 59, 0
2, 28320, Note_on_c, 0, 61, 75
2, 28560, Note_off_c, 0, 61, 0
2, 28560, Note_on_c, 0, 62, 77
2, 28800, Note_off_c, 0, 62, 0
2, 28800, Note_on_c, 0, 54, 86
2, 28800, Note_on_c, 0, 59, 86
2, 29280, Note_off_c, 0, 54, 0
2, 29280, Note_off_c, 0, 59, 0
2, 29280, Note_on_c, 0, 59, 69
2, 29760, Note_off_c, 0, 59, 0
2, 29760, Note_on_c, 0, 59, 71
2, 30240, Note_off_c, 0, 59, 0
2, 30240, Note_on_c, 0, 50, 91
2, 30240, Note_on_c, 0, 55, 91
2, 30240, Note_on_c, 0, 59, 91
2, 30720, Note_off_c, 0, 50, 0
2, 30720, Note_off_c, 0, 55, 0
2, 30720, Note_off_c, 0, 59, 0
2, 30720, Note_on_c, 0, 59, 70
2, 31200, Note_off_c, 0, 59, 0
2, 31200, Note_on_c, 0, 59, 73
2, 31680, Note_off_c, 0, 59, 0
2, 31680, Note_on_c, 0, 52, 94
2, 31680, Note_on_c, 0, 57, 94
2, 31680, Note_on_c, 0, 59, 94
2, 32160, Note_off_c, 0, 52, 0
2, 32160, Note_off_c, 0, 57, 0
2, 32160, Note_off_c, 0, 59, 0
2, 32160, Note_on_c, 0, 59, 72
2, 32640, Note_off_c, 0, 59, 0
2, 32640, Note_on_c, 0, 59, 78
2, 33120, Note_off_c, 0, 59, 0
2, 33120, Note_on_c, 0, 52, 93
2, 33120, Note_on_c, 0, 59, 93
2, 33600, Note_off_c, 0, 52, 0
2, 33600, Note_off_c, 0, 59, 0
